Timestamp;atm_pm_1_0;atm_pm_10_0;atm_pm_2_5;co2;delta;hum;ma;temp
2025-08-21 12:17:52;;;;;;0.0;;34.01
2025-08-21 12:18:02;;;;;;0.0;;33.5
2025-08-21 12:18:21;;;;;;0.0;;32.84
2025-08-21 12:18:31;;;;;;0.0;;32.51
2025-08-21 12:18:41;;;;;;0.0;;32.32
2025-08-21 12:18:51;;;;;;0.0;;32.11
2025-08-21 12:19:01;;;;;;0.0;;32.15
2025-08-21 12:19:11;;;;;;0.0;;32.62
2025-08-21 12:19:21;;;;;;0.0;;32.47
2025-08-21 12:19:31;;;;;;0.0;;-50.0
2025-08-21 12:19:42;;;;;;0.0;;32.78
2025-08-21 12:19:52;;;;;;0.0;;32.84
2025-08-21 12:20:02;;;;;;0.0;;32.88
2025-08-21 12:20:12;;;;;;0.0;;32.89
2025-08-21 12:20:22;;;;;;0.0;;32.85
2025-08-21 12:20:32;;;;;;0.0;;32.56
2025-08-21 12:20:42;;;;;;0.0;;32.28
2025-08-21 12:20:52;;;;;;0.0;;31.98
2025-08-21 12:21:02;;;;;;0.0;;31.73
2025-08-21 12:21:13;;;;;;0.0;;31.5
2025-08-21 12:21:23;;;;;;0.0;;31.24
2025-08-21 12:21:33;;;;;;0.0;;31.08
2025-08-21 12:21:43;;;;;;0.0;;30.89
2025-08-21 12:21:53;;;;;;0.0;;30.77
2025-08-21 12:22:03;;;;;;0.0;;30.62
2025-08-21 12:22:13;;;;;;0.0;;30.49
2025-08-21 12:22:23;;;;;;0.0;;30.42
2025-08-21 12:22:33;;;;;;0.0;;30.3
2025-08-21 12:22:44;;;;;;0.0;;30.21
2025-08-21 12:22:54;;;;;;0.0;;30.14
2025-08-21 12:23:04;;;;;;0.0;;30.06
2025-08-21 12:23:14;;;;;;0.0;;30.01
2025-08-21 12:23:24;;;;;;0.0;;29.94
2025-08-21 12:23:34;;;;;;0.0;;29.84
2025-08-21 12:23:44;;;;;;0.0;;29.72
2025-08-21 12:23:54;;;;;;0.0;;29.71
2025-08-21 12:24:04;;;;;;0.0;;29.65
2025-08-21 12:24:14;;;;;;0.0;;29.59
2025-08-21 12:24:25;;;;;;0.0;;29.57
2025-08-21 12:47:44;;;;;;29.63;;31.47
2025-08-21 12:47:54;;;;;;28.74;;31.15
2025-08-21 12:48:04;;;;;;28.22;;30.99
2025-08-21 12:48:14;;;;;;28.29;;30.75
2025-08-21 12:48:24;;;;;;28.87;;30.65
2025-08-21 12:48:34;;;;;;33.25;;30.5
2025-08-21 12:48:44;;;;;;33.25;;30.39
2025-08-21 12:48:46;;;;;;33.25;;30.39
2025-08-21 12:48:47;;;;;;33.25;;30.39
2025-08-21 12:48:52;;;;;;33.25;;30.39
2025-08-21 12:48:52;;;;;;33.25;;30.39
2025-08-21 12:48:54;;;;;;29.92;;30.35
2025-08-21 12:49:04;;;;;;33.63;;30.25
2025-08-21 12:49:20;;;;;;31.16;;30.19
2025-08-21 12:49:51;;;;;;30.85;;30.03
2025-08-21 12:50:01;;;;;;30.53;;29.91
2025-08-21 12:50:11;;;;;;32.01;;29.84
2025-08-21 12:50:33;;;;;;30.17;;29.73
2025-08-21 12:50:43;;;;;;29.77;;29.74
2025-08-21 12:51:34;;;;;;29.79;;29.9
2025-08-21 12:51:57;;;;;;33.63;;29.79
2025-08-21 12:52:07;;;;;;34.92;;29.82
2025-08-21 12:52:17;;;;;;33.47;;29.89
2025-08-21 12:52:27;;;;;;31.81;;29.9
2025-08-21 12:52:38;;;;;;31.04;;29.91
2025-08-21 12:52:48;;;;;;31.93;;29.84
2025-08-21 12:52:58;;;;;;34.32;;29.81
2025-08-21 14:01:19;;;;;;28.35;;32.62
2025-08-21 14:01:29;;;;;;28.84;;32.16
2025-08-21 14:01:39;;;;;;39.58;;32.23
2025-08-21 14:01:49;;;;;;31.07;;31.76
2025-08-21 14:01:59;;;;;;29.2;;31.71
2025-08-21 14:02:09;;;;;;28.27;;31.6
2025-08-21 14:02:19;;;;;;28.14;;31.42
2025-08-21 14:02:30;;;;;;28.28;;31.29
2025-08-21 14:02:40;;;;;;28.5;;31.16
2025-08-21 14:02:50;;;;;;29.05;;31.0
2025-08-21 14:03:00;;;;;;29.11;;30.88
2025-08-21 14:03:10;;;;;;29.23;;30.67
2025-08-21 14:03:20;;;;;;29.42;;30.49
2025-08-21 14:03:30;;;;;;30.2;;30.46
2025-08-21 14:03:40;;;;;;31.2;;30.37
2025-08-21 14:03:50;;;;;;31.02;;30.24
2025-08-21 14:04:01;;;;;;30.57;;30.12
2025-08-21 14:04:11;;;;;;31.1;;30.09
2025-08-21 14:04:21;;;;;;31.5;;30.07
2025-08-21 14:04:31;;;;;;32.28;;30.06
2025-08-21 14:04:41;;;;;;31.57;;29.98
2025-08-21 14:04:51;;;;;;30.94;;29.91
2025-08-21 14:05:01;;;;;;31.06;;29.81
2025-08-21 14:05:11;;;;;;31.39;;29.81
2025-08-21 14:05:21;;;;;;31.28;;29.8
2025-11-06 10:52:27;0;0;0;401;-1.0;;0.1;
2025-11-06 10:52:37;0;0;0;404;-1.0;;0.1;
2025-11-06 10:52:47;0;1;0;404;-1.0;;0.1;
2025-11-06 10:52:57;0;1;0;400;nan;;0.0;
2025-11-06 10:53:07;0;0;0;404;nan;;0.0;
2025-11-06 10:53:17;0;0;0;403;nan;;0.0;
2025-11-06 10:53:27;0;1;0;401;nan;;0.0;
2025-11-06 10:53:37;0;0;0;402;nan;;0.0;
2025-11-06 10:53:47;0;0;0;401;nan;;0.0;
2025-11-06 10:53:58;0;0;0;402;nan;;0.0;
2025-11-06 10:54:08;0;1;0;400;nan;;0.0;
2025-11-06 10:54:18;0;0;0;400;nan;;0.0;
2025-11-06 10:54:28;0;1;0;403;nan;;0.0;
2025-11-06 10:54:38;0;0;0;401;nan;;0.0;
2025-11-06 10:54:48;0;0;0;403;nan;;0.0;
2025-11-06 10:54:58;0;0;0;400;nan;;0.0;
2025-11-06 10:55:08;0;0;0;400;nan;;0.0;
2025-11-06 10:55:18;0;0;0;400;nan;;0.0;
2025-11-06 10:55:29;0;0;0;402;nan;;0.0;
2025-11-06 10:55:39;0;0;0;401;nan;;0.0;
2025-11-06 10:55:49;0;0;0;403;nan;;0.0;
2025-11-06 10:55:59;0;0;0;403;nan;;0.0;
2025-11-06 10:56:09;0;0;0;402;nan;;0.0;
2025-11-06 10:56:19;0;1;1;402;9.0;;0.1;
2025-11-06 10:56:29;0;0;0;402;-1.0;;0.1;
2025-11-06 10:56:39;0;0;0;401;-1.0;;0.1;
2025-11-06 10:56:49;0;0;0;401;-1.0;;0.1;
2025-11-06 10:57:00;0;0;0;401;-1.0;;0.1;
2025-11-06 10:57:10;0;1;0;403;-1.0;;0.1;
2025-11-06 10:57:20;0;0;0;401;-1.0;;0.1;
2025-11-06 10:57:30;0;1;0;403;-1.0;;0.1;
2025-11-06 10:57:40;0;0;0;400;-1.0;;0.1;
2025-11-06 10:57:50;0;0;0;401;-1.0;;0.1;
2025-11-06 10:58:00;0;0;0;404;nan;;0.0;
2025-11-06 10:58:10;0;1;0;400;nan;;0.0;
2025-11-06 10:58:20;0;0;0;401;nan;;0.0;
2025-11-06 10:58:31;0;0;0;404;nan;;0.0;
2025-11-06 10:58:41;0;0;0;400;nan;;0.0;
2025-11-06 10:58:51;0;0;0;402;nan;;0.0;
2025-11-06 10:59:01;0;0;0;402;nan;;0.0;
2025-11-06 10:59:11;0;1;0;404;nan;;0.0;
2025-11-06 10:59:21;0;1;0;400;nan;;0.0;
2025-11-06 10:59:31;0;0;0;404;nan;;0.0;
2025-11-06 10:59:41;0;0;0;400;nan;;0.0;
2025-11-06 10:59:51;0;1;0;404;nan;;0.0;
2025-11-06 11:00:02;0;1;0;403;nan;;0.0;
2025-11-06 11:00:12;0;0;0;402;nan;;0.0;
2025-11-06 11:00:22;0;0;0;402;nan;;0.0;
2025-11-06 11:00:32;0;0;0;402;nan;;0.0;
2025-11-06 11:00:42;0;0;0;401;nan;;0.0;
2025-11-06 11:00:52;0;0;0;403;nan;;0.0;
