Timestamp;atm_pm_1_0;atm_pm_10_0;atm_pm_2_5;co2;delta;hum;ma;temp
2025-08-25 10:31:47;;;;;;29.15;;29.22
2025-08-25 10:31:58;;;;;;29.54;;29.12
2025-08-25 10:32:08;;;;;;29.48;;29.05
2025-08-25 10:32:18;;;;;;29.13;;28.98
2025-08-25 10:32:28;;;;;;29.33;;28.9
2025-08-25 10:32:38;;;;;;29.76;;28.84
2025-08-25 10:39:30;;;;;;32.26;;27.54
2025-08-25 10:39:40;;;;;;29.93;;27.47
2025-08-25 10:39:50;;;;;;29.74;;27.29
2025-08-25 10:40:00;;;;;;30.06;;27.11
2025-08-25 10:40:25;;;;;;32.87;;26.95
2025-08-25 10:40:36;;;;;;30.78;;26.49
2025-08-25 10:40:46;;;;;;30.83;;26.25
2025-08-25 10:40:56;;;;;;31.11;;26.2
2025-08-25 10:41:06;;;;;;31.39;;26.05
2025-08-25 10:41:16;;;;;;31.55;;25.9
2025-08-25 10:41:26;;;;;;31.76;;25.67
2025-08-25 10:41:52;;;;;;34.19;;25.66
2025-08-25 10:42:02;;;;;;34.81;;25.77
2025-08-25 10:42:12;;;;;;32.85;;25.63
2025-08-25 10:44:35;;;;;;41.65;;25.87
2025-08-25 10:44:45;;;;;;39.47;;26.16
2025-08-25 11:01:20;;;;;;38.06;;30.22
2025-08-25 11:01:31;;;;;;31.71;;30.47
2025-08-25 11:01:41;;;;;;33.67;;30.6
2025-08-25 11:01:51;;;;;;32.06;;30.67
2025-08-25 11:02:01;;;;;;35.02;;30.75
2025-08-25 11:02:11;;;;;;35.7;;30.83
2025-08-25 11:02:21;;;;;;33.96;;30.72
2025-08-25 11:02:31;;;;;;43.54;;30.57
2025-08-25 11:02:41;;;;;;41.04;;30.5
2025-08-25 11:02:51;;;;;;30.32;;30.32
2025-08-25 11:03:02;;;;;;25.77;;29.97
2025-08-25 11:03:12;;;;;;27.82;;29.55
2025-08-25 11:03:22;;;;;;26.57;;29.38
2025-08-25 11:03:32;;;;;;25.68;;29.31
2025-08-25 11:03:42;;;;;;25.31;;29.22
2025-08-25 11:03:52;;;;;;25.33;;29.15
2025-08-25 11:04:02;;;;;;25.14;;29.05
2025-08-25 11:04:12;;;;;;25.33;;29.0
2025-08-25 11:04:22;;;;;;25.37;;28.8
2025-08-25 11:04:33;;;;;;25.35;;28.65
2025-08-25 11:04:43;;;;;;25.52;;28.47
2025-08-25 11:04:53;;;;;;25.85;;28.3
2025-08-28 10:25:32;;;;;;29.77;;26.43
2025-08-28 10:25:43;;;;;;31.02;;26.67
2025-08-28 10:25:53;;;;;;29.81;;26.79
2025-08-28 10:26:03;;;;;;30.03;;26.83
2025-08-28 10:26:13;;;;;;29.64;;26.93
2025-08-28 10:26:23;;;;;;29.03;;27.02
2025-08-28 10:26:33;;;;;;28.57;;27.1
2025-11-08 14:58:27;0;2;2;401;0.0;;2.0;
2025-11-08 14:58:37;0;3;3;403;0.43;;2.1;
2025-11-08 14:58:47;0;2;2;403;-0.09;;2.2;
2025-11-08 14:58:57;0;2;2;404;-0.05;;2.1;
2025-11-08 14:59:07;0;2;2;404;-0.05;;2.1;
2025-11-08 14:59:17;1;2;2;401;-0.09;;2.2;
2025-11-08 14:59:28;0;1;1;400;-0.47;;1.9;
2025-11-08 14:59:38;1;3;2;403;0.05;;1.9;
2025-11-08 14:59:48;1;5;4;401;0.9;;2.1;
2025-11-08 14:59:58;0;2;1;400;-0.52;;2.1;
2025-11-08 15:00:08;0;2;1;401;-0.5;;2.0;
2025-11-08 15:00:18;0;2;1;403;-0.44;;1.8;
2025-11-08 15:00:28;1;2;1;400;-0.41;;1.7;
2025-11-08 15:00:38;0;1;0;404;-1.0;;1.5;
2025-11-08 15:00:49;0;3;3;403;0.88;;1.6;
2025-11-08 15:00:59;1;4;4;403;1.22;;1.8;
2025-11-08 15:01:09;1;4;3;403;0.5;;2.0;
2025-11-08 15:01:19;0;4;3;403;0.43;;2.1;
2025-11-08 15:01:29;0;4;3;401;0.5;;2.0;
2025-11-08 15:01:39;0;3;3;401;0.36;;2.2;
2025-11-08 15:01:49;0;3;3;403;0.25;;2.4;
2025-11-08 15:01:59;0;2;2;401;-0.2;;2.5;
2025-11-08 15:02:09;0;2;2;403;-0.23;;2.6;
2025-11-08 15:02:20;0;1;1;403;-0.63;;2.7;
2025-11-08 15:02:30;0;2;2;402;-0.23;;2.6;
2025-11-08 15:02:40;0;2;2;402;-0.17;;2.4;
2025-11-08 15:02:50;0;3;3;404;0.25;;2.4;
2025-11-08 15:03:00;0;4;3;401;0.25;;2.4;
2025-11-08 15:03:10;0;4;4;401;0.6;;2.5;
2025-11-08 15:03:20;0;3;3;401;0.2;;2.5;
2025-11-08 15:03:30;0;3;3;400;0.2;;2.5;
2025-11-08 15:03:40;0;2;2;404;-0.2;;2.5;
2025-11-08 15:03:51;0;3;3;403;0.15;;2.6;
2025-11-08 15:04:01;0;4;4;401;0.38;;2.9;
2025-11-08 15:04:11;0;5;5;402;0.56;;3.2;
2025-11-08 15:04:21;0;3;3;404;-0.09;;3.3;
2025-11-08 15:04:31;0;3;3;400;-0.09;;3.3;
2025-11-08 15:04:41;0;3;3;404;-0.09;;3.3;
2025-11-08 15:04:51;0;2;2;404;-0.35;;3.1;
2025-11-08 15:05:01;0;2;2;402;-0.33;;3.0;
2025-11-08 15:05:11;0;3;3;401;0.0;;3.0;
2025-11-08 15:05:22;0;2;2;403;-0.33;;3.0;
2025-11-08 15:05:32;0;1;1;402;-0.64;;2.8;
2025-11-08 15:05:42;0;2;2;402;-0.23;;2.6;
2025-11-08 15:05:52;0;3;3;400;0.25;;2.4;
2025-11-08 15:06:02;0;3;3;404;0.25;;2.4;
2025-11-08 15:06:12;0;3;3;400;0.25;;2.4;
2025-11-08 15:06:22;0;3;3;403;0.25;;2.4;
2025-11-08 15:06:32;0;3;3;402;0.2;;2.5;
2025-11-08 15:06:43;0;1;1;402;-0.58;;2.4;
2025-11-08 15:06:53;0;4;4;402;0.6;;2.5;
2025-11-08 15:07:03;0;2;2;403;-0.2;;2.5;
2025-11-08 15:07:13;0;2;2;404;-0.23;;2.6;
2025-11-08 15:07:23;0;2;2;400;-0.23;;2.6;
2025-11-08 15:07:33;0;3;3;400;0.15;;2.6;
2025-11-08 15:07:43;0;4;4;403;0.48;;2.7;
2025-11-08 15:07:53;0;4;4;400;0.43;;2.8;
2025-11-08 15:08:03;0;3;2;404;-0.26;;2.7;
2025-11-08 15:08:14;0;3;3;404;0.11;;2.7;
2025-11-08 15:08:24;0;3;3;403;0.03;;2.9;
2025-11-08 15:08:34;0;4;3;403;0.07;;2.8;
2025-11-08 15:08:44;0;5;3;404;0.03;;2.9;
2025-11-08 15:08:54;0;4;3;402;0.0;;3.0;
2025-11-08 15:09:04;0;3;2;402;-0.33;;3.0;
2025-11-08 15:09:14;0;2;2;403;-0.31;;2.9;
2025-11-08 15:09:24;0;2;2;404;-0.26;;2.7;
2025-11-08 15:09:34;0;2;2;400;-0.2;;2.5;
2025-11-08 15:09:45;0;3;3;400;0.15;;2.6;
2025-11-08 15:09:55;0;4;3;400;0.15;;2.6;
2025-11-08 15:10:05;0;4;3;402;0.15;;2.6;
2025-11-08 15:10:15;0;3;3;404;0.15;;2.6;
2025-11-08 15:10:25;0;2;2;400;-0.2;;2.5;
2025-11-08 15:10:35;0;2;2;401;-0.17;;2.4;
2025-11-08 15:10:45;0;3;3;402;0.2;;2.5;
2025-11-08 15:10:55;0;3;2;404;-0.2;;2.5;
2025-11-08 15:11:05;0;3;3;404;0.15;;2.6;
2025-11-08 15:11:16;0;4;4;401;0.43;;2.8;
2025-11-08 15:11:26;0;4;4;404;0.38;;2.9;
2025-11-08 15:11:36;0;4;2;402;-0.29;;2.8;
2025-11-08 15:11:46;0;3;2;400;-0.26;;2.7;
2025-11-08 15:11:56;0;4;4;402;0.43;;2.8;
2025-11-08 15:12:06;0;5;4;401;0.33;;3.0;
2025-11-08 15:12:16;0;3;3;402;-0.03;;3.1;
2025-11-08 15:12:26;0;4;3;401;-0.03;;3.1;
2025-11-08 15:12:36;0;2;2;400;-0.35;;3.1;
2025-11-08 15:12:47;0;4;3;402;-0.03;;3.1;
2025-11-08 15:12:57;0;3;3;403;0.0;;3.0;
2025-11-08 15:13:07;0;2;2;400;-0.29;;2.8;
2025-11-08 15:13:17;0;1;0;400;-1.0;;2.6;
2025-11-08 15:13:27;0;1;0;400;-1.0;;2.4;
2025-11-08 15:13:37;0;3;2;401;-0.09;;2.2;
2025-11-08 15:13:47;0;5;3;400;0.43;;2.1;
2025-11-08 15:13:57;0;4;3;403;0.43;;2.1;
2025-11-08 15:14:07;0;2;2;402;0.0;;2.0;
2025-11-08 15:14:18;0;4;4;404;0.82;;2.2;
2025-11-08 15:14:28;0;3;3;400;0.36;;2.2;
2025-11-08 15:14:38;0;3;2;400;-0.05;;2.1;
2025-11-08 15:14:48;0;2;2;402;-0.05;;2.1;
2025-11-08 15:14:58;0;2;2;404;-0.13;;2.3;
2025-11-08 15:15:08;0;2;2;400;-0.2;;2.5;
2025-11-08 15:15:18;0;2;2;402;-0.2;;2.5;
2025-11-08 15:15:28;0;1;1;404;-0.57;;2.3;
2025-11-08 15:15:38;0;2;2;400;-0.09;;2.2;
2025-11-08 15:15:49;0;2;2;402;-0.09;;2.2;
2025-11-08 15:15:59;0;2;1;400;-0.47;;1.9;
2025-11-08 15:16:09;0;2;2;403;0.11;;1.8;
2025-11-08 15:16:19;0;2;2;402;0.11;;1.8;
2025-11-08 15:16:29;0;1;1;401;-0.41;;1.7;
2025-11-08 15:16:39;0;2;2;401;0.18;;1.7;
2025-11-08 15:16:49;0;1;1;402;-0.38;;1.6;
2025-11-08 15:16:59;0;2;2;404;0.25;;1.6;
2025-11-08 15:17:09;0;2;2;403;0.18;;1.7;
2025-11-08 15:17:20;0;3;3;401;0.67;;1.8;
2025-11-08 15:17:30;0;2;2;402;0.11;;1.8;
2025-11-08 15:17:40;0;3;3;404;0.5;;2.0;
2025-11-08 15:17:50;0;3;3;404;0.43;;2.1;
2025-11-08 15:18:00;0;4;3;401;0.36;;2.2;
2025-11-08 15:18:10;0;4;2;400;-0.13;;2.3;
2025-11-08 15:18:20;0;5;5;403;0.92;;2.6;
2025-11-08 15:18:30;0;3;2;400;-0.26;;2.7;
2025-11-08 15:18:40;0;3;2;401;-0.26;;2.7;
2025-11-08 15:18:51;0;2;1;400;-0.62;;2.6;
2025-11-08 15:19:01;0;3;2;404;-0.2;;2.5;
2025-11-08 15:19:11;0;3;3;400;0.15;;2.6;
2025-11-08 15:19:21;0;4;3;402;0.15;;2.6;
2025-11-08 15:19:31;0;3;3;404;0.15;;2.6;
2025-11-08 15:19:41;0;1;1;401;-0.58;;2.4;
2025-11-08 15:19:51;0;2;2;403;-0.17;;2.4;
2025-11-08 15:20:01;0;1;1;400;-0.5;;2.0;
2025-11-08 15:20:11;0;2;2;403;0.0;;2.0;
2025-11-08 15:20:22;0;3;3;401;0.43;;2.1;
2025-11-08 15:20:32;0;1;1;400;-0.52;;2.1;
2025-11-08 15:20:42;0;1;1;402;-0.5;;2.0;
2025-11-08 15:20:52;0;2;2;403;0.05;;1.9;
2025-11-08 15:21:02;0;3;3;400;0.58;;1.9;
2025-11-08 15:21:12;0;4;4;400;1.0;;2.0;
2025-11-08 15:21:22;0;3;3;403;0.36;;2.2;
2025-11-08 15:21:32;0;2;2;400;-0.09;;2.2;
2025-11-08 15:21:43;0;2;2;400;-0.13;;2.3;
2025-11-08 15:21:53;0;2;2;400;-0.13;;2.3;
2025-11-08 15:22:03;0;2;2;403;-0.09;;2.2;
2025-11-08 15:22:13;0;3;3;404;0.25;;2.4;
2025-11-08 15:22:23;0;2;2;400;-0.2;;2.5;
2025-11-08 15:22:33;0;1;1;401;-0.58;;2.4;
2025-11-08 15:22:43;0;2;2;404;-0.13;;2.3;
2025-11-08 15:22:53;0;2;2;403;-0.05;;2.1;
2025-11-08 15:23:03;0;1;1;403;-0.47;;1.9;
2025-11-08 15:23:14;0;1;1;403;-0.44;;1.8;
2025-11-08 15:23:24;0;3;2;402;0.11;;1.8;
2025-11-08 15:23:34;1;2;2;401;0.11;;1.8;
2025-11-08 15:23:44;0;1;1;401;-0.41;;1.7;
2025-11-08 15:23:54;0;2;2;401;0.25;;1.6;
2025-11-08 15:24:04;0;2;2;403;0.25;;1.6;
2025-11-08 15:24:14;1;5;4;404;1.11;;1.9;
2025-11-08 15:24:24;1;5;4;402;0.9;;2.1;
2025-11-08 15:24:34;0;2;2;402;-0.05;;2.1;
2025-11-08 15:24:45;0;1;1;400;-0.52;;2.1;
2025-11-08 15:24:55;1;2;2;400;-0.09;;2.2;
2025-11-08 15:25:05;1;2;2;401;-0.09;;2.2;
2025-11-08 15:25:15;0;2;1;400;-0.52;;2.1;
2025-11-08 15:25:25;0;2;2;402;-0.09;;2.2;
2025-11-08 15:25:35;1;3;3;402;0.3;;2.3;
2025-11-08 15:25:45;1;4;4;401;0.6;;2.5;
2025-11-08 15:25:55;0;3;2;401;-0.13;;2.3;
2025-11-08 15:26:05;1;3;3;400;0.36;;2.2;
2025-11-08 15:26:16;0;4;1;403;-0.52;;2.1;
2025-11-08 15:26:26;1;5;3;403;0.3;;2.3;
2025-11-08 15:26:36;0;1;1;400;-0.55;;2.2;
2025-11-08 15:26:46;0;2;2;400;-0.09;;2.2;
2025-11-08 15:26:56;1;2;2;403;-0.13;;2.3;
2025-11-08 15:27:06;1;2;2;401;-0.13;;2.3;
2025-11-08 15:27:16;1;2;2;404;-0.09;;2.2;
2025-11-08 15:27:26;0;1;1;400;-0.47;;1.9;
2025-11-08 15:27:36;0;2;2;401;0.05;;1.9;
2025-11-08 15:27:46;1;3;3;400;0.58;;1.9;
2025-11-08 15:27:57;0;2;2;401;0.0;;2.0;
2025-11-08 15:28:07;1;3;3;400;0.5;;2.0;
2025-11-08 15:28:17;1;4;4;404;0.74;;2.3;
2025-11-08 15:28:27;1;5;4;401;0.6;;2.5;
2025-11-08 15:28:37;0;2;2;400;-0.2;;2.5;
2025-11-08 15:28:47;1;3;3;401;0.15;;2.6;
2025-11-08 15:28:57;1;3;3;404;0.11;;2.7;
2025-11-08 15:29:07;1;4;3;403;0.03;;2.9;
2025-11-08 15:29:17;0;2;2;402;-0.31;;2.9;
2025-11-08 15:29:28;0;2;2;400;-0.29;;2.8;
2025-11-08 15:29:38;1;2;2;404;-0.29;;2.8;
2025-11-08 15:29:48;1;1;1;400;-0.62;;2.6;
2025-11-08 15:29:58;1;2;2;401;-0.17;;2.4;
2025-11-08 15:30:08;0;1;1;403;-0.52;;2.1;
2025-11-08 15:30:18;1;3;3;400;0.36;;2.2;
2025-11-08 15:30:28;1;3;3;403;0.36;;2.2;
2025-11-08 15:30:38;0;2;2;404;-0.05;;2.1;
2025-11-08 15:30:49;0;3;2;401;0.0;;2.0;
2025-11-08 15:30:59;1;3;3;400;0.43;;2.1;
2025-11-08 15:31:09;1;4;3;403;0.36;;2.2;
2025-11-08 15:31:19;0;2;2;401;-0.09;;2.2;
2025-11-08 15:31:29;1;3;3;402;0.25;;2.4;
2025-11-08 15:31:39;0;2;2;403;-0.17;;2.4;
2025-11-08 15:31:49;0;1;1;400;-0.58;;2.4;
2025-11-08 15:31:59;0;1;1;404;-0.55;;2.2;
2025-11-08 15:32:09;1;3;3;404;0.36;;2.2;
2025-11-08 15:32:20;0;2;2;403;-0.09;;2.2;
2025-11-08 15:32:30;0;1;1;401;-0.52;;2.1;
2025-11-08 15:32:40;1;2;2;402;0.0;;2.0;
2025-11-08 15:32:50;0;2;1;400;-0.44;;1.8;
2025-11-08 15:33:00;1;3;3;403;0.58;;1.9;
2025-11-08 15:33:10;1;2;2;404;0.11;;1.8;
2025-11-08 15:33:20;1;2;2;404;0.11;;1.8;
2025-11-08 15:33:30;0;1;1;404;-0.44;;1.8;
2025-11-08 15:33:40;1;2;2;400;0.05;;1.9;
2025-11-08 15:33:51;1;2;2;402;0.11;;1.8;
2025-11-08 15:34:01;0;3;1;402;-0.41;;1.7;
2025-11-08 15:34:11;0;3;3;403;0.58;;1.9;
2025-11-08 15:34:21;0;3;3;403;0.5;;2.0;
2025-11-08 15:34:31;1;4;3;400;0.36;;2.2;
2025-11-08 15:34:41;0;2;2;404;-0.05;;2.1;
